apron,förkläde (n)
bathrobe,"badkappa, badrock"
belt,skärp (n)
blouse,blus
boot,känga
bra,behå
bracelet,armband (n)
brush,hårborste
buckle,spänne (n)
button,knapp
cap,mössa
clothes,kläder
coat,jacka
collar,krage
comb,kam
contact lens,kontaktlins
cotton,bomull
dress,klänning
earrings,örhängen
fashion,mode
glasses,glasögon
glove,handske
handbag,handväska
handkerchief,näsduk
hat,hatt
jacket,jacka
necklace,halsband (n)
needle,nål
nightgown,nattlinne (n)
overcoat,överrock
pants,byxor
pin,knappnål
pocket,ficka
purse,börs
raincoat,regnrock
ring,ring
scarf,scarf / halsduk
shirt,skjorta
shoe,sko
shoelaces,skosnören
shorts,shorts
silk,silke (n)
skirt,kjol
sleeve,ärm
slippers,"toffel, tofflor"
soap,tvål
sock,strumpa
stocking,nylonstrumpa
suit,kostym
sunglasses,solglasögon
suspenders,hängslen
sweater,tröja
swimsuit,badkläder
thread,tråd
tie,slips
T-shirt,T-shirt
umbrella,paraply
waistcoat,väst
watch,klocka
wool,ull
